id,room_type,price,minimum_nights,number_of_reviews_ltm,reviews_per_month,latitude,longitude
168359,Entire home/apt,111,2,0,0.08,51.49185,-0.08823
249395,Entire home/apt,300,7,0,0.02,51.55468,-0.13524
214755,Entire home/apt,575,5,9,0.7,51.51146,-0.2021
170524,Entire home/apt,1300,14,0,,51.50612,-0.14029
216350,Private room,63,1,26,1.86,51.47928,-0.22061
252016,Private room,60,2,0,0.02,51.47615,-0.06092
170702,Private room,60,3,0,1.05,51.49686,-0.02627
172629,Private room,85,3,3,1.48,51.49577,-0.1954
260259,Private room,51,1,0,,51.5333,0.04779
252226,Private room,57,1,0,,51.4295,-0.12573
254996,Private room,32,1,41,3.08,51.52339,-0.31421
221860,Private room,45,2,0,0.23,51.46468,-0.09903
263672,Private room,35,1,18,1.44,51.47022,-0.17008
227502,Entire home/apt,105,3,3,1.08,51.52853,-0.07728
228054,Private room,60,1,0,,51.59006,-0.09753
228195,Entire home/apt,95,6,10,0.59,51.48829,-0.18905
257219,Entire home/apt,40,21,0,,51.52999,-0.08276
280894,Entire home/apt,149,7,0,0.24,51.49777,-0.09097
281892,Private room,25,1,0,0.96,51.562634,-0.142175
263822,Entire home/apt,100,3,8,0.3,51.51854,0.02291
264776,Entire home/apt,291,3,4,0.38,51.44306,-0.01948
282198,Entire home/apt,111,14,0,0.64,51.52361,-0.11591
282299,Private room,45,14,0,,51.55918,-0.07416
229335,Entire home/apt,180,2,0,0.23,51.51862,-0.13957
229684,Private room,30,1,0,0.24,51.48793,-0.04204
264778,Entire home/apt,121,3,3,0.28,51.44359,-0.02275
264779,Entire home/apt,157,3,2,0.21,51.44355,-0.02309
264780,Entire home/apt,166,3,3,0.15,51.44333,-0.02307
264781,Entire home/apt,118,3,0,0.09,51.44204,-0.02149
264789,Entire home/apt,211,3,0,0.26,51.44346,-0.02122
268398,Private room,40,1,22,3.62,51.50287,-0.10937
230839,Entire home/apt,90,7,0,0.03,51.5368,-0.07753
231452,Private room,75,1,0,0.02,51.47118,-0.1844
282846,Private room,50,1,1,0.37,51.58619,-0.25304
283569,Entire home/apt,86,3,3,0.21,51.5067,-0.24775
269065,Private room,31,2,0,0.35,51.50669,-0.33013
269172,Private room,46,1,0,,51.47174,0.05861
284532,Entire home/apt,90,5,1,0.36,51.52851,-0.07426
284603,Entire home/apt,250,14,2,0.03,51.51464,-0.20004
231692,Private room,44,20,0,0.28,51.54818,-0.08428
231854,Entire home/apt,140,4,16,3.15,51.52153,-0.1004
269373,Entire home/apt,110,5,0,0.18,51.48451,-0.09091
286675,Entire home/apt,70,3,5,0.87,51.57982,-0.37539
270600,Entire home/apt,71,4,10,0.54,51.44311,-0.33245
232983,Private room,110,3,0,1.94,51.48668,-0.10513
271122,Private room,30,1,0,0.07,51.53097,-0.39891
271815,Entire home/apt,136,28,9,0.53,51.5208,-0.20577
272530,Private room,80,5,0,0.35,51.54248,-0.09712
302760,Entire home/apt,100,4,0,,51.45398,-0.02118
304918,Entire home/apt,130,4,4,2.79,51.52264,-0.10323
235994,Entire home/apt,140,3,3,0.76,51.60484,-0.12463
236956,Private room,43,1,22,4.01,51.50363,-0.10926
237907,Entire home/apt,236,3,5,0.51,51.52022,-0.10577
274918,Entire home/apt,100,4,3,0.16,51.42229,-0.178
275140,Entire home/apt,108,4,18,0.64,51.43951,-0.05175
276082,Private room,50,2,0,0.14,51.61782,-0.02283
276888,Entire home/apt,140,4,2,0.08,51.42328,-0.17789
277580,Entire home/apt,124,3,3,0.1,51.49254,-0.30935
278559,Entire home/apt,89,5,0,0.05,51.51488,-0.19016
238349,Entire home/apt,120,7,1,1,51.49609,-0.22782
238440,Entire home/apt,150,4,0,0.14,51.5191,-0.2053
238711,Entire home/apt,150,90,0,1.49,51.51156,-0.19579
305573,Entire home/apt,75,15,1,0.12,51.49608,-0.09713
278837,Private room,37,3,2,1.19,51.49566,-0.08599
306405,Private room,41,4,0,0.02,51.54072,0.15246
306677,Entire home/apt,132,5,0,1.76,51.49739,-0.10146
239697,Private room,55,3,0,0.74,51.54491,-0.20988
286943,Entire home/apt,120,3,0,0.09,51.53495,-0.20282
240734,Entire home/apt,75,3,0,0.03,51.57542,-0.06921
306737,Entire home/apt,400,5,0,0.22,51.54655,-0.16495
288828,Entire home/apt,102,2,0,,51.53741,-0.23727
307923,Private room,36,1,16,0.84,51.52344,-0.46178
312465,Private room,100,1,0,,51.54174,0.006
289422,Private room,45,7,1,0.34,51.52185,0.02417
312761,Entire home/apt,144,21,5,0.75,51.52704,-0.08129
313710,Entire home/apt,89,2,0,0.08,51.53347,-0.23292
290233,Entire home/apt,572,14,0,,51.53667,0.00562
314066,Private room,26,1,0,2.47,51.60134,-0.08688
314164,Entire home/apt,97,7,0,0.07,51.55896,-0.08297
323473,Entire home/apt,99,7,2,0.54,51.53861,-0.09678
290923,Entire home/apt,275,2,0,0.17,51.54039,-0.14282
324055,Private room,29,150,0,,51.55311,0.02273
314985,Private room,32,2,0,0.06,51.52626,0.02904
291731,Private room,29,2,0,0.01,51.429,-0.12764
315238,Entire home/apt,170,2,22,0.67,51.47565,-0.15073
315658,Private room,50,3,0,3.22,51.48383,-0.11655
294177,Entire home/apt,50,7,2,0.92,51.59375,-0.25767
316137,Private room,90,1,6,0.32,51.54289,-0.14541
294247,Private room,120,2,0,1.79,51.48641,-0.21277
318287,Private room,29,2,4,0.78,51.61607,-0.02982
294887,Private room,34,2,2,0.41,51.57537,0.00536
318986,Entire home/apt,200,7,0,,51.49113,-0.19482
320629,Private room,75,2,0,2.19,51.5385,-0.14719
295222,Private room,86,1,0,,51.52214,-0.34366
321411,Private room,69,2,0,0.1,51.49897,-0.20395
322606,Private room,50,2,12,1.49,51.47043,-0.17155
296720,Private room,45,1,0,,51.41877,-0.16772
324229,Private room,65,1,0,,51.58095,-0.22395
298246,Entire home/apt,135,7,0,,51.42892,-0.12915
325673,Private room,40,1,0,0.86,51.54387,-0.17308
299374,Entire home/apt,59,1,0,1.44,51.55764,-0.30173
325809,Entire home/apt,763,14,0,,51.54897,-0.18309
326146,Private room,120,7,0,,51.57139,-0.03131
326633,Private room,90,2,1,1.92,51.47565,-0.15159
330783,Private room,45,5,0,,51.45768,-0.0526
300333,Private room,57,1,0,,51.56049,-0.40791
331058,Private room,46,1,5,1.27,51.50095,-0.25827
326655,Entire home/apt,205,2,8,0.28,51.4619,-0.1169
300723,Entire home/apt,200,3,0,0.47,51.58358,-0.1177
329610,Private room,100,1,0,,51.56407,-0.01151
330044,Private room,40,3,0,0.06,51.48423,-0.2629
342636,Private room,60,1,0,,51.45837,-0.03635
342804,Entire home/apt,160,5,3,0.5,51.48775,-0.27161
343701,Entire home/apt,51,5,10,0.61,51.52738,0.00964
334310,Private room,36,8,2,1.41,51.45625,-0.01633
