id,property_type_2020,price_2020,number_of_reviews_ltm_2020,reviews_per_month_2020,room_type_2022,price_2022,latitude,longitude,minimum_nights,reviews_per_month_2022
213024.0,Entire apartment,$67.00,1.0,0.25,Entire home/apt,67,51.52945,-0.19746,21,0.2
214755.0,Entire apartment,$343.00,7.0,0.93,Entire home/apt,575,51.51146,-0.2021,5,0.7
216350.0,Private room in townhouse,$51.00,25.0,1.93,Private room,63,51.47928,-0.22061,1,1.86
227502.0,Entire apartment,$85.00,0.0,1.25,Entire home/apt,105,51.52853,-0.07728,3,1.08
228054.0,Private room in apartment,$60.00,0.0,,Private room,60,51.59006,-0.09753,1,
228195.0,Entire apartment,$100.00,4.0,0.59,Entire home/apt,95,51.48829,-0.18905,6,0.59
229684.0,Private room in house,$30.00,0.0,0.3,Private room,30,51.48793,-0.04204,1,0.24
230839.0,Entire apartment,$90.00,0.0,0.04,Entire home/apt,90,51.5368,-0.07753,7,0.03
231692.0,Private room in house,$42.00,9.0,0.6,Private room,44,51.54818,-0.08428,20,0.28
231854.0,Private room in apartment,$80.00,63.0,3.52,Entire home/apt,140,51.52153,-0.1004,4,3.15
232983.0,Private room in apartment,$130.00,6.0,2.27,Private room,110,51.48668,-0.10513,3,1.94
235994.0,Entire apartment,$148.00,5.0,0.86,Entire home/apt,140,51.60484,-0.12463,3,0.76
236956.0,Private room in apartment,$37.00,19.0,4.46,Private room,43,51.50363,-0.10926,1,4.01
237907.0,Entire apartment,$91.00,10.0,2.4,Entire home/apt,236,51.52022,-0.10577,3,0.51
238349.0,Entire apartment,$120.00,2.0,1.17,Entire home/apt,120,51.49609,-0.22782,7,1.0
238440.0,Entire condominium,$150.00,0.0,0.16,Entire home/apt,150,51.5191,-0.2053,4,0.14
238711.0,Entire apartment,$170.00,3.0,1.75,Entire home/apt,150,51.51156,-0.19579,90,1.49
239697.0,Private room in apartment,$42.00,2.0,0.87,Private room,55,51.54491,-0.20988,3,0.74
240734.0,Entire apartment,$65.00,0.0,0.04,Entire home/apt,75,51.57542,-0.06921,3,0.03
241133.0,Private room in house,$33.00,0.0,0.01,Private room,33,51.60531,-0.14814,120,0.01
241621.0,Private room in townhouse,$35.00,0.0,1.04,Private room,33,51.42865,-0.15725,3,0.88
241975.0,Private room in apartment,$27.00,2.0,0.16,Private room,35,51.56094,-0.10893,2,0.24
243077.0,Entire townhouse,$99.43,0.0,0.21,Entire home/apt,123,51.55314,-0.04586,5,0.18
244112.0,Private room in house,$50.00,8.0,1.34,Private room,50,51.54233,-0.09941,2,1.17
244125.0,Entire apartment,$500.00,23.0,3.0,Entire home/apt,614,51.52932,-0.08094,1,2.63
244126.0,Private room in apartment,$100.00,3.0,1.02,Entire home/apt,171,51.53261,-0.08277,1,1.08
